Quiz_Total,Assignment_Total,Midterm,Final_Exam
5.1,11.3,10.8,30.1
4.2,5.7,7.5,17.4
6.0,9.9,9.0,25.4
7.5,12.9,12.0,29.7
10.0,17.0,19.8,45.1
5.3,10.0,12.6,26.7
6.7,12.7,14.0,35.7
5.1,13.4,11.1,28.5
7.6,16.3,16.3,43.5
10.0,15.6,19.4,50.0
7.0,8.2,11.6,32.2
4.8,10.6,9.3,24.0
7.6,16.8,15.1,40.3
7.5,10.9,15.0,39.1
9.5,17.8,19.2,46.0
6.7,14.0,12.1,31.8
6.3,14.0,11.7,33.6
7.0,14.2,14.9,37.7
8.2,16.9,17.3,43.6
8.2,15.7,16.3,37.6
7.3,11.3,15.2,34.1
7.8,17.4,15.2,37.9
8.2,16.8,14.2,38.2
8.5,17.9,16.7,39.7
7.2,20.0,16.1,38.7
6.0,9.4,14.2,29.1
8.0,16.0,14.3,31.8
8.8,16.2,17.1,43.8
5.0,11.0,11.0,28.4
7.6,14.0,13.4,33.4
5.6,11.2,11.7,26.9
7.5,12.2,15.1,32.6
8.7,17.3,15.7,39.8
6.7,11.3,15.5,37.9
6.9,14.3,12.8,34.8
3.2,8.3,10.5,23.0
6.7,13.5,13.6,33.2
6.5,14.3,15.6,38.8
9.6,20.0,18.1,44.4
7.4,11.3,10.4,26.9
8.6,14.2,13.9,37.7
7.4,12.7,15.0,37.9
9.3,18.9,16.7,43.5
4.9,13.7,10.9,26.4
6.5,16.6,13.7,35.0
6.8,14.6,14.7,39.6
6.3,14.6,14.2,33.7
5.7,11.8,12.8,33.9
6.4,15.5,13.5,37.1
6.5,15.1,18.4,47.3
5.6,11.0,10.2,25.9
5.8,13.1,13.0,34.5
5.6,10.8,9.0,28.5
10.0,16.7,16.3,42.2
3.5,8.8,8.0,19.3
3.6,11.1,12.5,28.6
6.8,14.5,14.7,36.6
9.7,20.0,16.3,39.3
8.0,14.3,13.0,31.9
4.7,12.6,12.1,32.0
9.7,18.0,20.0,42.8
4.0,7.3,9.7,26.7
3.1,7.8,7.3,19.9
9.3,15.6,14.4,34.7
4.5,13.7,12.0,30.7
5.2,9.0,11.4,26.6
7.9,14.8,13.5,38.9
7.7,11.3,13.3,36.3
5.7,10.7,10.4,23.7
4.8,10.7,9.6,24.9
7.5,14.9,17.1,40.3
7.7,15.9,14.2,36.7
6.1,12.4,9.8,26.5
9.8,19.0,18.0,50.0
4.6,8.1,10.9,28.4
4.5,8.6,9.1,20.0
5.4,6.4,11.4,24.5
7.3,12.6,12.5,30.8
6.8,11.3,12.2,33.6
4.7,14.1,12.9,32.0
8.0,15.2,13.1,37.1
3.9,9.9,11.9,28.3
8.1,19.6,18.0,46.6
5.9,11.3,12.1,31.9
9.3,19.0,15.6,36.5
5.3,15.4,13.9,34.4
9.7,14.0,14.1,38.3
8.2,16.4,16.0,38.2
7.4,12.7,14.6,37.4
7.4,13.7,14.1,35.5
8.7,16.1,19.3,42.7
7.2,12.8,13.6,33.7
8.1,13.5,16.0,39.6
6.8,14.6,12.0,29.3
8.7,16.9,17.8,43.3
5.3,11.5,11.3,25.5
9.1,17.5,16.1,46.0
6.3,10.1,15.3,34.4
5.3,9.1,10.3,27.3
7.2,10.5,12.9,36.7
3.1,10.9,9.6,25.6
8.3,13.5,15.9,36.7
5.7,14.0,11.1,22.5
5.8,13.0,12.1,26.0
3.4,7.5,7.6,15.2
6.7,13.5,12.3,33.3
3.6,4.5,7.5,16.7
3.5,9.1,8.9,22.4
8.0,15.6,14.0,31.1
6.9,15.8,17.0,37.4
6.0,16.2,16.2,40.2
4.5,11.2,13.9,30.5
7.1,13.3,11.5,30.1
7.3,10.5,13.3,34.3
5.2,8.1,7.0,24.9
9.3,17.3,18.2,44.1
8.2,15.8,15.0,38.5
5.7,10.6,14.6,34.0
6.9,16.7,12.2,37.6
7.5,15.9,11.6,26.4
4.0,7.8,6.3,18.2
7.1,12.4,9.9,27.5
6.0,10.6,11.9,29.9
5.3,8.6,7.5,20.4
6.9,12.3,12.2,30.3
9.2,18.8,15.9,44.8
6.8,13.1,14.5,44.6
5.5,11.8,13.3,32.7
6.8,14.5,15.2,35.3
